                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     75,                 1.9229,                 3.0537,                 2.2081,                 2.3204,                0.34255,                0.38315,                0.33847,                0.16811,                0.21323,                0.29078,                 0.2501,                0.10695,                 1.8541,                 2.8174,                 2.5966,                 2.0924,               0.006337,               0.006337,               0.006337
                     76,                 1.9346,                 3.1393,                 2.2401,                 2.3139,                0.36102,                0.42174,                 0.3717,                 0.1898,                0.21422,                0.22172,                0.18239,                0.06291,                 1.8806,                 2.7378,                 2.4845,                 2.0946,              0.0062875,              0.0062875,              0.0062875
                     77,                 1.9075,                 2.9552,                 2.2496,                  2.311,                0.44152,                0.48117,                0.42481,                0.22332,                0.17414,                0.24675,                0.16282,                 0.0596,                 1.8573,                 2.9646,                 2.3317,                 2.0458,               0.006238,               0.006238,               0.006238
                     78,                 1.9497,                 3.1432,                 2.2446,                  2.314,                0.39832,                0.52474,                0.45985,                0.24678,                0.23933,                0.31021,                0.25415,                0.10491,                 1.7412,                 2.7367,                 2.2095,                 1.9567,              0.0061885,              0.0061885,              0.0061885
                     79,                 1.8156,                  3.052,                 2.2053,                 2.2681,                0.42867,                0.52208,                0.45866,                0.25403,                0.25436,                0.28184,                0.24628,                0.10314,                 1.7583,                 2.6092,                 2.2282,                 1.9467,               0.006139,               0.006139,               0.006139
                     80,                 1.8863,                 3.0189,                 2.1556,                 2.2348,                0.34175,                0.50884,                0.40899,                0.22517,                0.24548,                0.28163,                0.22968,                0.07874,                 1.6969,                 2.6341,                 2.4363,                 1.9172,              0.0060895,              0.0060895,              0.0060895
                     81,                 1.8427,                 3.1089,                 2.1732,                  2.246,                0.31149,                0.55443,                0.43419,                0.23888,                0.59756,                 0.2504,                0.26672,                0.11254,                 1.6988,                 2.5179,                 2.3814,                  1.903,                0.00604,                0.00604,                0.00604
                     82,                 1.8663,                 3.0237,                   2.16,                 2.1593,                0.38942,                0.52078,                0.46595,                0.24099,                0.32705,                0.26974,                0.27578,                0.12125,                 1.7758,                 2.6085,                 2.2295,                 1.9549,              0.0059905,              0.0059905,              0.0059905
                     83,                 1.8432,                 2.9664,                 2.1607,                 2.2078,                0.41946,                0.52693,                0.46636,                0.23702,                0.26958,                0.22716,                0.22897,                0.08792,                 1.7788,                 2.6591,                 2.2713,                 1.9407,               0.005941,               0.005941,               0.005941
                     84,                 1.8087,                  2.983,                 2.1382,                 2.2052,                 0.3749,                 0.4937,                0.41014,                0.19275,                0.09911,                0.15077,                 0.0771,                0.02014,                 1.9064,                 3.6077,                  2.882,                 2.0051,              0.0058915,              0.0058915,              0.0058915
